Host,products,n_bgc
Maize,T1PKS;NRPS-like;terpene,1
Wheat,LAP;NRPS,1
Wheat,CDPS;arylpolyene,1
Rice,transAT-PKS;T3PKS;PKS-like,1
Rice,transAT-PKS;PKS-like;hserlactone,1
Rice,transAT-PKS;NRPS;NRPS-like,1
Rice,transAT-PKS-like;NRPS;PKS-like;T3PKS,1
Rice,transAT-PKS-like;NRPS-like;T3PKS;PKS-like,1
Maize,T1PKS;siderophore,1
Maize,T1PKS;ranthipeptide,1
Maize,T1PKS;prodigiosin,1
Maize,T1PKS;other;butyrolactone,1
Maize,T1PKS;other,1
Maize,T1PKS;hserlactone;NRPS-like;NRPS,1
Wheat,LAP;RiPP-like;NRPS,1
Wheat,LAP;NRPS-like;PKS-like,1
Maize,T1PKS;PKS-like;amglyccycl,1
Rice,T3PKS;NRPS,1
Rice,T2PKS;terpene,1
Rice,T2PKS;PKS-like;ectoine,1
Rice,T1PKS;other,1
Rice,T1PKS;butyrolactone;PKS-like;LAP,1
Rice,T1PKS;NRPS;thioamitides,1
Rice,T1PKS;NRPS;lanthipeptide-class-iv,1
Rice,T1PKS;NRPS;acyl_amino_acids;NRPS-like;hserlactone,1
Rice,T1PKS;NRPS;T3PKS,1
Maize,linaridin;NRPS-like;NRPS,1
Maize,lassopeptide;terpene,1
Maize,lanthipeptide-class-v;redox-cofactor;lanthipeptide-class-ii;NRPS,1
Maize,T1PKS;NRPS;resorcinol,1
Maize,NRPS;transAT-PKS-like,1
Maize,NRPS;thioamitides;RRE-containing,1
Wheat,NRPS-like;NRPS;siderophore;PKS-like,1
Wheat,NRPS-like;NRPS;T1PKS;lanthipeptide-class-ii,1
Wheat,NRPS-like;NRPS;RiPP-like,1
Wheat,NRPS-like;NRPS;LAP;thiopeptide,1
Wheat,NAPAA;microviridin,1
Maize,T1PKS;NRPS-like;butyrolactone,1
Maize,T1PKS;NRPS-like;betalactone,1
Maize,RiPP-like;other;phosphonate,1
Maize,RiPP-like;NRPS-like;butyrolactone,1
Maize,RRE-containing;thiopeptide,1
Wheat,LAP;thiopeptide;lanthipeptide-class-ii,1
Wheat,LAP;thiopeptide;RiPP-like,1
Wheat,LAP;thiopeptide;NRPS,1
Wheat,LAP;RiPP-like;terpene,1
Maize,PKS-like;T2PKS;RRE-containing,1
Maize,lanthipeptide-class-v;NRPS,1
Maize,lanthipeptide-class-v;LAP,1
Maize,lanthipeptide-class-iv;thiopeptide;LAP,1
Maize,lanthipeptide-class-iv;lanthipeptide-class-ii;T1PKS,1
Maize,lanthipeptide-class-iv;lanthipeptide-class-ii,1
Rice,RiPP-like;redox-cofactor,1
Rice,RiPP-like;betalactone,1
Rice,RiPP-like;arylpolyene,1
Rice,RiPP-like;RRE-containing,1
Rice,RRE-containing;thiopeptide,1
Maize,other;phosphonate,1
Maize,PKS-like;T1PKS;oligosaccharide;thiopeptide;LAP,1
Maize,PKS-like;T1PKS;amglyccycl,1
Maize,PKS-like;T1PKS;NRPS-like;transAT-PKS-like;NRPS,1
Maize,PKS-like;T1PKS;NRPS,1
Wheat,NRPS;NRPS-like;butyrolactone,1
Wheat,NRPS;NRPS-like;T2PKS,1
Wheat,NRPS;NRPS-like;RiPP-like,1
Wheat,NRPS;LAP;RiPP-like,1
Wheat,NRPS;LAP;NRPS-like,1
Wheat,NRPS-like;transAT-PKS;PKS-like,1
Wheat,NRPS-like;transAT-PKS,1
Wheat,NRPS-like;phenazine,1
Wheat,NRPS-like;ectoine,1
Wheat,NRPS-like;cyanobactin,1
Wheat,NRPS-like;arylpolyene;terpene,1
Wheat,NRPS-like;arylpolyene,1
Wheat,NRPS-like;T1PKS;terpene,1
Wheat,NRPS-like;PKS-like,1
Wheat,NRPS-like;NRPS;transAT-PKS,1
Maize,PKS-like;T3PKS;transAT-PKS,1
Wheat,NRPS;T1PKS;ladderane,1
Wheat,NRPS;T1PKS;ectoine,1
Wheat,NRPS;T1PKS;T3PKS,1
Wheat,NRPS;RiPP-like;T1PKS,1
Wheat,NRPS;PUFA;hglE-KS,1
Wheat,NRPS;PKS-like;T1PKS,1
Wheat,NRPS;PKS-like;NRPS-like,1
Wheat,NRPS;NRPS-like;linaridin,1
Wheat,NRPS;NRPS-like;ladderane,1
Maize,NRPS;redox-cofactor,1
Maize,NRPS;other;lanthipeptide-class-i,1
Maize,NRPS;other,1
Maize,NRPS;lanthipeptide-class-v;lanthipeptide-class-ii;redox-cofactor,1
Maize,NRPS;ladderane;arylpolyene,1
Maize,NRPS;ectoine;T1PKS,1
Maize,NRPS;T2PKS,1
Maize,NRPS;T1PKS;transAT-PKS,1
Maize,NRPS;T1PKS;terpene,1
Maize,NRPS;T1PKS;siderophore,1
Maize,NRPS;T1PKS;phosphonate;NRPS-like,1
Maize,NRPS;T1PKS;ectoine,1
Maize,NRPS;T1PKS;PKS-like,1
Maize,NRPS;PKS-like;NRPS-like,1
Maize,NRPS;NRPS-like;terpene,1
Maize,NRPS;NRPS-like;cyanobactin,1
Maize,NRPS;NRPS-like;T2PKS,1
Wheat,NRPS;other;T1PKS,1
Wheat,NRPS;lanthipeptide-class-ii,1
Wheat,NRPS;hserlactone,1
Wheat,NRPS;betalactone;indole,1
Wheat,NRPS;T1PKS;terpene,1
Wheat,NRPS;T1PKS;lanthipeptide-class-i;amglyccycl,1
Wheat,NRPS;terpene;siderophore,1
Maize,other;phenazine;terpene,1
Maize,other;T1PKS;terpene,1
Maize,other;T1PKS,1
Maize,other;NRPS;T1PKS,1
Maize,other;NRPS,1
Maize,nucleoside;other,1
Maize,melanin;terpene,1
Maize,linaridin;T1PKS;butyrolactone;other,1
Rice,RRE-containing;lassopeptide;hserlactone,1
Rice,RRE-containing;cyclic-lactone-autoinducer,1
Rice,PKS-like;arylpolyene,1
Rice,PKS-like;LAP;butyrolactone;T1PKS,1
Rice,NRPS;transAT-PKS;T3PKS,1
Rice,NRPS;transAT-PKS-like;NRPS-like;T1PKS,1
Wheat,NRPS;ranthipeptide;RiPP-like,1
Wheat,PKS-like;T1PKS;NRPS,1
Wheat,PKS-like;NRPS;T1PKS;NRPS-like,1
Wheat,PKS-like;NRPS;NRPS-like;siderophore,1
Maize,NRPS;NRPS-like;T1PKS;hserlactone,1
Maize,NRPS-like;redox-cofactor,1
Maize,NRPS-like;lanthipeptide-class-i,1
Maize,NRPS-like;cyanobactin;NRPS,1
Maize,NRPS-like;cyanobactin,1
Maize,NRPS-like;butyrolactone;RiPP-like,1
Maize,NRPS-like;arylpolyene,1
Wheat,PKS-like;LAP,1
Wheat,NRPS;transAT-PKS;T1PKS,1
Wheat,NRPS;transAT-PKS;PKS-like,1
Wheat,NRPS;transAT-PKS-like;T3PKS;PKS-like,1
Wheat,NRPS;transAT-PKS-like,1
Wheat,NRPS;thioamide-NRP,1
Wheat,RiPP-like;ectoine,1
Wheat,RiPP-like;NRPS;ranthipeptide,1
Maize,NRPS-like;T1PKS;butyrolactone,1
Maize,NRPS-like;T1PKS;NRPS,1
Maize,NRPS-like;PKS-like;transAT-PKS;NRPS,1
Maize,NRPS-like;NRPS;T1PKS;betalactone;RiPP-like,1
Maize,NRPS-like;NRPS;PKS-like,1
Maize,NRPS-like;NRPS;NAPAA,1
Maize,NAPAA;oligosaccharide,1
Wheat,RRE-containing;arylpolyene,1
Wheat,RRE-containing;T2PKS,1
Wheat,RRE-containing;T1PKS;PKS-like,1
Wheat,RRE-containing;NRPS;RiPP-like,1
Wheat,RRE-containing;LAP;RiPP-like,1
Wheat,PUFA,1
Wheat,PKS-like;T1PKS;amglyccycl,1
Alfalfa,transAT-PKS;PKS-like;T3PKS,1
Wheat,T1PKS;NRPS;other,1
Wheat,T1PKS;NRPS;lanthipeptide-class-ii;NRPS-like,1
Wheat,T1PKS;NRPS;hglE-KS,1
Wheat,T1PKS;NRPS;LAP,1
Wheat,T1PKS;NRPS-like;transAT-PKS-like;NRPS,1
Wheat,T1PKS;NRPS-like;transAT-PKS-like,1
Wheat,T1PKS;NRPS-like;lassopeptide,1
Wheat,T1PKS;NRPS-like;betalactone,1
Wheat,T1PKS;NRPS-like;T3PKS,1
Wheat,T1PKS;NRPS-like;NRPS;T3PKS;other,1
Wheat,T1PKS;NAPAA,1
Wheat,T1PKS;NAGGN,1
Wheat,RiPP-like;transAT-PKS;PKS-like,1
Wheat,RiPP-like;redox-cofactor,1
Wheat,RiPP-like;lanthipeptide-class-iii,1
Alfalfa,terpene;T3PKS,1
Alfalfa,terpene;NRPS,1
Wheat,T1PKS;other,1
Wheat,T1PKS;oligosaccharide;hglE-KS;other,1
Wheat,T1PKS;oligosaccharide;NRPS-like,1
Wheat,T1PKS;lassopeptide,1
Wheat,T1PKS;hserlactone;NRPS-like;NRPS,1
Wheat,T1PKS;butyrolactone;terpene,1
Wheat,T1PKS;arylpolyene,1
Wheat,T1PKS;T2PKS;PKS-like,1
Wheat,T1PKS;PKS-like;amglyccycl,1
Maize,NAPAA;NRPS;NRPS-like,1
Maize,LAP;thiopeptide;cyclic-lactone-autoinducer,1
Maize,LAP;proteusin,1
Maize,LAP;T1PKS,1
Maize,CDPS;NRPS,1
Alfalfa,transAT-PKS-like;NRPS-like,1
Maize,siderophore;T1PKS;NRPS-like;lanthipeptide-class-iii;RiPP-like,1
Maize,resorcinol;arylpolyene;terpene,1
Maize,redox-cofactor;lanthipeptide-class-v;lanthipeptide-class-ii;NRPS,1
Maize,redox-cofactor;NRPS-like,1
Maize,other;thiopeptide;LAP,1
Rice,NRPS;siderophore,1
Rice,NRPS;prodigiosin,1
Rice,NRPS;phosphonate,1
Rice,NRPS;oligosaccharide;terpene,1
Rice,NRPS;melanin,1
Rice,NRPS;ladderane;arylpolyene,1
Rice,NRPS;indole,1
Rice,NRPS;betalactone;T1PKS,1
Rice,NRPS;acyl_amino_acids,1
Alfalfa,thioamide-NRP;NRPS,1
Alfalfa,proteusin;lanthipeptide-class-ii,1
Wheat,T3PKS;betalactone;NRPS;T1PKS,1
Wheat,T3PKS;arylpolyene,1
Wheat,T3PKS;RiPP-like;butyrolactone,1
Wheat,T3PKS;NRPS;T1PKS,1
Wheat,T3PKS;NRPS-like;T1PKS,1
Wheat,T2PKS;phenazine,1
Wheat,T2PKS;oligosaccharide;other,1
Wheat,T2PKS;ladderane,1
Wheat,T2PKS;hglE-KS;T1PKS;NRPS;lanthipeptide-class-i;lanthipeptide-class-ii,1
Wheat,T2PKS;hglE-KS;T1PKS,1
Wheat,T2PKS;butyrolactone;NRPS;other;T1PKS,1
Wheat,T2PKS;T3PKS,1
Wheat,T2PKS;RRE-containing;T1PKS;PKS-like,1
Wheat,T2PKS;PKS-like,1
Wheat,T1PKS;other;oligosaccharide,1
Alfalfa,nucleoside,1
Alfalfa,lassopeptide;ectoine,1
Wheat,arylpolyene;other;NRPS-like;T1PKS;butyrolactone,1
Wheat,arylpolyene;ladderane;NRPS,1
Wheat,arylpolyene;T1PKS;PKS-like,1
Wheat,arylpolyene;NRPS;lanthipeptide-class-i;lanthipeptide-class-ii,1
Wheat,arylpolyene;NRPS;NRPS-like,1
Wheat,amglyccycl;T1PKS;PKS-like,1
Wheat,acyl_amino_acids;thioamide-NRP,1
Wheat,T3PKS;terpene;other,1
Alfalfa,siderophore;T2PKS;betalactone,1
Alfalfa,siderophore;NRPS;NRPS-like,1
Alfalfa,resorcinol;ranthipeptide;NRPS,1
Alfalfa,redox-cofactor;hserlactone,1
Alfalfa,redox-cofactor;NRPS,1
Alfalfa,ranthipeptide;LAP;RiPP-like,1
Maize,terpene;hserlactone,1
Maize,terpene;butyrolactone,1
Maize,terpene;NRPS;T1PKS,1
Maize,terpene;NRPS;NRPS-like,1
Rice,NRPS;T3PKS;NRPS-like,1
Rice,NRPS;T1PKS;thioamitides,1
Rice,NRPS;T1PKS;betalactone;hserlactone,1
Rice,NRPS;T1PKS;arylpolyene,1
Rice,NRPS;T1PKS;T2PKS,1
Rice,NRPS;T1PKS;LAP,1
Rice,NRPS;NRPS-like;RiPP-like,1
Alfalfa,phenazine;ladderane;NRPS,1
Alfalfa,phenazine;hserlactone,1
Alfalfa,oligosaccharide;T1PKS;hglE-KS,1
Alfalfa,oligosaccharide;RRE-containing,1
Alfalfa,nucleoside;NRPS-like,1
Wheat,ectoine;terpene,1
Wheat,ectoine;CDPS,1
Wheat,butyrolactone;terpene,1
Alfalfa,lassopeptide;cyclic-lactone-autoinducer,1
Alfalfa,lanthipeptide-class-iv;LAP,1
Alfalfa,lanthipeptide-class-i;NRPS;lanthipeptide-class-ii;terpene,1
Alfalfa,ladderane;hserlactone,1
Alfalfa,hserlactone;siderophore,1
Wheat,blactam,1
Wheat,betalactone;siderophore,1
Wheat,betalactone;ranthipeptide,1
Wheat,betalactone;NAPAA,1
Alfalfa,phosphonate;NRPS-like,1
Maize,terpene;phosphonate,1
Maize,terpene;melanin,1
Maize,terpene;indole,1
Alfalfa,arylpolyene;T3PKS,1
Alfalfa,arylpolyene;RiPP-like,1
Alfalfa,arylpolyene;NRPS,1
Wheat,ladderane;NRPS-like;NRPS;arylpolyene,1
Wheat,ladderane;NRPS,1
Wheat,indole;NRPS-like;NRPS;PKS-like,1
Wheat,indole;NAPAA,1
Wheat,hserlactone;lassopeptide;RiPP-like,1
Wheat,hglE-KS;T1PKS;PUFA,1
Wheat,hglE-KS;NRPS;T1PKS;NRPS-like,1
Alfalfa,hserlactone;phosphonate,1
Alfalfa,cyclic-lactone-autoinducer;lanthipeptide-class-ii,1
Alfalfa,blactam,1
Alfalfa,betalactone;redox-cofactor,1
Wheat,furan;butyrolactone,1
Wheat,furan;NAPAA,1
Wheat,lanthipeptide-class-iv;terpene,1
Wheat,lanthipeptide-class-iii;RRE-containing,1
Wheat,lanthipeptide-class-ii;cyclic-lactone-autoinducer,1
Wheat,lanthipeptide-class-ii;T1PKS,1
Wheat,lanthipeptide-class-ii;RiPP-like,1
Wheat,lanthipeptide-class-i;lassopeptide,1
Wheat,lanthipeptide-class-i;lanthipeptide-class-iv,1
Wheat,lanthipeptide-class-i;NRPS;lanthipeptide-class-ii;hglE-KS,1
Wheat,lanthipeptide-class-i;NRPS;lanthipeptide-class-ii,1
Wheat,ladderane;T1PKS;other,1
Wheat,ladderane;RRE-containing;NRPS-like;NRPS,1
Alfalfa,betalactone;T2PKS;siderophore,1
Alfalfa,betalactone;T2PKS,1
Alfalfa,arylpolyene;terpene,1
Alfalfa,arylpolyene;resorcinol;terpene,1
Alfalfa,arylpolyene;ladderane,1
Rice,NRPS-like;betalactone;NRPS,1
Rice,NRPS-like;arylpolyene,1
Wheat,nucleoside;other;NAPAA,1
Alfalfa,T3PKS;hserlactone,1
Alfalfa,T3PKS;hglE-KS,1
Alfalfa,T3PKS;arylpolyene,1
Alfalfa,T3PKS;acyl_amino_acids,1
Alfalfa,T3PKS;NRPS;terpene,1
Alfalfa,T3PKS;NRPS,1
Alfalfa,T1PKS;terpene,1
Wheat,linaridin;NRPS-like;NRPS,1
Wheat,lassopeptide;lanthipeptide-class-ii,1
Wheat,lassopeptide;cyclic-lactone-autoinducer,1
Wheat,lassopeptide;T3PKS,1
Wheat,lanthipeptide-class-v;redox-cofactor;lanthipeptide-class-ii;NRPS,1
Wheat,lanthipeptide-class-v;RiPP-like,1
Wheat,oligosaccharide;terpene,1
Wheat,oligosaccharide;T2PKS;NRPS,1
Wheat,oligosaccharide;T1PKS,1
Rice,NRPS-like;transAT-PKS;NRPS;PKS-like,1
Rice,NRPS-like;transAT-PKS;NRPS,1
Maize,thiopeptide;RRE-containing,1
Maize,thiopeptide;LAP;lanthipeptide-class-iv,1
Maize,thiopeptide;LAP;ectoine,1
Maize,thioamitides;thiopeptide;LAP,1
Maize,thioamide-NRP;NRPS;ladderane,1
Maize,terpene;transAT-PKS;T1PKS,1
Rice,NRPS-like;transAT-PKS-like,1
Rice,NRPS-like;siderophore,1
Rice,NRPS-like;redox-cofactor,1
Rice,NRPS-like;ranthipeptide,1
Rice,NRPS-like;lanthipeptide-class-v,1
Wheat,prodigiosin;NRPS-like;NRPS,1
Wheat,phenazine;PKS-like;butyrolactone,1
Wheat,other;transAT-PKS;NRPS;T1PKS;PKS-like,1
Wheat,other;oligosaccharide,1
Wheat,other;T3PKS,1
Alfalfa,T1PKS;butyrolactone;terpene,1
Alfalfa,T1PKS;NRPS;betalactone,1
Alfalfa,T1PKS;NRPS-like;prodigiosin,1
Alfalfa,T1PKS;NRPS-like;aminocoumarin;NRPS;nucleoside,1
Alfalfa,RiPP-like;RRE-containing,1
Alfalfa,RiPP-like;NRPS;ranthipeptide,1
Alfalfa,RiPP-like;NAGGN,1
Wheat,other;NRPS;nucleoside,1
Wheat,other;NRPS;NRPS-like,1
Wheat,other;NRPS-like,1
Wheat,other;NRPS,1
Alfalfa,NRPS;other;phosphonate,1
Alfalfa,NRPS;other,1
Alfalfa,NRPS;indole,1
Alfalfa,NRPS;ectoine,1
Alfalfa,NRPS;T3PKS,1
Wheat,siderophore;NRPS-like,1
Wheat,siderophore;CDPS,1
Wheat,sactipeptide;ranthipeptide,1
Wheat,resorcinol;indole,1
Wheat,resorcinol;RiPP-like,1
Wheat,resorcinol;NRPS-like,1
Wheat,redox-cofactor;terpene,1
Wheat,redox-cofactor;lanthipeptide-class-v;lanthipeptide-class-ii;NRPS,1
Wheat,redox-cofactor;RiPP-like,1
Wheat,ranthipeptide;LAP;RiPP-like,1
Wheat,proteusin;thioamitides,1
Wheat,tropodithietic-acid,1
Wheat,transAT-PKS;T3PKS;PKS-like,1
Wheat,transAT-PKS;T1PKS;NRPS;PKS-like,1
Wheat,transAT-PKS;T1PKS;NRPS,1
Alfalfa,NRPS;NAPAA,1
Alfalfa,NRPS-like;transAT-PKS-like,1
Alfalfa,NRPS-like;terpene,1
Alfalfa,NRPS-like;butyrolactone,1
Alfalfa,NRPS-like;T3PKS,1
Wheat,terpene;T2PKS,1
Wheat,terpene;T1PKS;butyrolactone,1
Wheat,terpene;T1PKS,1
Wheat,terpene;NRPS;lanthipeptide-class-ii,1
Wheat,terpene;NRPS;NRPS-like,1
Wheat,siderophore;thioamide-NRP,1
Wheat,siderophore;T1PKS;NRPS-like,1
Wheat,thiopeptide;LAP;butyrolactone,1
Wheat,thioamitides;proteusin,1
Wheat,thioamitides;RiPP-like,1
Wheat,terpene;pyrrolidine;indole,1
Wheat,terpene;lanthipeptide-class-ii,1
Wheat,terpene;furan,1
Alfalfa,NRPS;T1PKS;PKS-like,1
Alfalfa,NRPS;RiPP-like,1
Alfalfa,NRPS;RRE-containing,1
Alfalfa,NRPS;PKS-like;T1PKS,1
Wheat,transAT-PKS;NRPS;NRPS-like;PKS-like,1
Wheat,thiopeptide;thioamitides;LAP,1
Alfalfa,NRPS-like;NRPS;lanthipeptide-class-v,1
Alfalfa,LAP;thiopeptide,1
Alfalfa,LAP;siderophore,1
Alfalfa,LAP;proteusin,1
